standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
dihydroorotase CDS	resolution				dihydroorotase	pyrC	dihydroorotase	uniprot_product_to_gene:pyrC:700
PEP-CTERM sorting domain-containing protein CDS	resolution				PEP-CTERM sorting domain-containing protein	unknown_gene	PEP-CTERM sorting domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
LysR family transcriptional regulator CDS	resolution				LysR family transcriptional regulator	unknown_gene	LysR family transcriptional regulator	fallback_unknown_gene
Rieske 2Fe-2S domain-containing protein CDS	resolution				Rieske 2Fe-2S domain-containing protein	antA	Rieske 2Fe-2S domain-containing protein	uniprot_product_to_gene:antA:5
tRNA (cytidine(34)-2'-O)-methyltransferase CDS	resolution				tRNA (cytidine(34)-2'-O)-methyltransferase	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	uniprot_product_to_gene:trmL:30,cspR:12
peptidoglycan DD-metalloendopeptidase family protein CDS	resolution				peptidoglycan DD-metalloendopeptidase family protein	unknown_gene	peptidoglycan DD-metalloendopeptidase family protein	fallback_unknown_gene
histidine triad nucleotide-binding protein CDS	resolution				histidine triad nucleotide-binding protein	unknown_gene	histidine triad nucleotide-binding protein	fallback_unknown_gene
DUF3386 domain-containing protein CDS	resolution				DUF3386 domain-containing protein	unknown_gene	DUF3386 domain-containing protein	fallback_unknown_gene
glycoside hydrolase CDS	resolution				glycoside hydrolase	unknown_gene	glycoside hydrolase	fallback_unknown_gene
phosphate-starvation-inducible PsiE family protein CDS	resolution				phosphate-starvation-inducible PsiE family protein	unknown_gene	phosphate-starvation-inducible PsiE family protein	fallback_unknown_gene
DUF2862 domain-containing protein CDS	resolution				DUF2862 domain-containing protein	unknown_gene	DUF2862 domain-containing protein	fallback_unknown_gene
ArsA family ATPase CDS	resolution				ArsA family ATPase	unknown_gene	ArsA family ATPase	fallback_unknown_gene
RDD family protein CDS	resolution				RDD family protein	unknown_gene	RDD family protein	fallback_unknown_gene
ExbD/TolR family protein CDS	resolution				ExbD/TolR family protein	exbD	ExbD/TolR family protein	uniprot_product_to_gene:exbD:3
peroxiredoxin CDS	resolution				Peroxiredoxin	bcp	Peroxiredoxin	uniprot_product_to_gene:bcp:45,PRXQ:6,prxU:6,ygaF:6,ccp:5
peroxiredoxin gene	resolution					unknown_gene	peroxiredoxin gene	fallback_unknown_gene
phosphomannose isomerase type II C-terminal cupin domain CDS	resolution				phosphomannose isomerase type II C-terminal cupin domain	unknown_gene	phosphomannose isomerase type II C-terminal cupin domain	fallback_unknown_gene
HesB/IscA family protein CDS	resolution				HesB/IscA family protein	unknown_gene	HesB/IscA family protein	fallback_unknown_gene
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
SPFH domain-containing protein CDS	resolution				SPFH domain-containing protein	unknown_gene	SPFH domain-containing protein	fallback_unknown_gene
RluA family pseudouridine synthase CDS	resolution				RluA family pseudouridine synthase	unknown_gene	RluA family pseudouridine synthase	fallback_unknown_gene
GRP family sugar transporter CDS	resolution				GRP family sugar transporter	unknown_gene	GRP family sugar transporter	fallback_unknown_gene
DUF4114 domain-containing protein CDS	resolution				DUF4114 domain-containing protein	unknown_gene	DUF4114 domain-containing protein	fallback_unknown_gene
IS200/IS605 family transposase ISAsp9 CDS	resolution				IS200/IS605 family transposase ISAsp9	unknown_gene	IS200/IS605 family transposase ISAsp9	fallback_unknown_gene
DUF3370 domain-containing protein CDS	resolution				DUF3370 domain-containing protein	unknown_gene	DUF3370 domain-containing protein	fallback_unknown_gene
DUF4347 domain-containing protein CDS	resolution				DUF4347 domain-containing protein	unknown_gene	DUF4347 domain-containing protein	fallback_unknown_gene
carbon dioxide-concentrating mechanism protein CcmK CDS	resolution				carbon dioxide-concentrating mechanism protein CcmK	ccmK	carbon dioxide-concentrating mechanism protein CcmK	uniprot_product_to_gene:ccmK:186,ccmK1:3,ccmK2:2,ccmK4:2,cchA:1
family 10 glycosylhydrolase CDS	resolution				family 10 glycosylhydrolase	unknown_gene	family 10 glycosylhydrolase	fallback_unknown_gene
low molecular weight protein-tyrosine-phosphatase CDS	resolution				low molecular weight protein-tyrosine-phosphatase	ptpA	low molecular weight protein-tyrosine-phosphatase	uniprot_product_to_gene:ptpA:5,yfkJ:3
YbaB/EbfC family nucleoid-associated protein CDS	resolution				YbaB/EbfC family nucleoid-associated protein	unknown_gene	YbaB/EbfC family nucleoid-associated protein	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
histidine phosphatase family protein CDS	resolution				histidine phosphatase family protein	unknown_gene	histidine phosphatase family protein	fallback_unknown_gene
dihydroorotase CDS	resolution				dihydroorotase	pyrC	dihydroorotase	uniprot_product_to_gene:pyrC:700
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
serine/threonine-protein kinase CDS	resolution				serine/threonine-protein kinase	spkB	serine/threonine-protein kinase	uniprot_product_to_gene:spkB:33,pknA:3,prkC:3,spkA:3,spkC:3
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
CCA tRNA nucleotidyltransferase CDS	resolution				CCA tRNA nucleotidyltransferase	unknown_gene	CCA tRNA nucleotidyltransferase	fallback_unknown_gene
YtxH domain-containing protein CDS	resolution				YtxH domain-containing protein	unknown_gene	YtxH domain-containing protein	fallback_unknown_gene
squalene/phytoene synthase family protein CDS	resolution				squalene/phytoene synthase family protein	unknown_gene	squalene/phytoene synthase family protein	fallback_unknown_gene
A24 family peptidase CDS	resolution				A24 family peptidase	unknown_gene	A24 family peptidase	fallback_unknown_gene
YkgJ family cysteine cluster protein CDS	resolution				YkgJ family cysteine cluster protein	unknown_gene	YkgJ family cysteine cluster protein	fallback_unknown_gene
tRNA-Gln gene	resolution					unknown_gene	tRNA-Gln gene	fallback_unknown_gene
MFS transporter CDS	resolution				MFS transporter	unknown_gene	MFS transporter	fallback_unknown_gene
peptidylprolyl isomerase CDS	resolution				peptidylprolyl isomerase	prsA	peptidylprolyl isomerase	uniprot_product_to_gene:prsA:10,surA:5,tig:5
PPC domain-containing protein CDS	resolution				PPC domain-containing protein	unknown_gene	PPC domain-containing protein	fallback_unknown_gene
tRNA-Phe gene	resolution					unknown_gene	tRNA-Phe gene	fallback_unknown_gene
HAD-IA family hydrolase CDS	resolution				HAD-IA family hydrolase	unknown_gene	HAD-IA family hydrolase	fallback_unknown_gene
peptidylprolyl isomerase CDS	resolution				peptidylprolyl isomerase	prsA	peptidylprolyl isomerase	uniprot_product_to_gene:prsA:10,surA:5,tig:5
thiazole synthase CDS	resolution				thiazole synthase	thiG	thiazole synthase	uniprot_product_to_gene:thiG:500,thiO:440,thiG1:5,thiOG:5
ssl1498 family light-harvesting-like protein CDS	resolution				ssl1498 family light-harvesting-like protein	unknown_gene	ssl1498 family light-harvesting-like protein	fallback_unknown_gene
prephenate/arogenate dehydrogenase CDS	resolution				prephenate/arogenate dehydrogenase	unknown_gene	prephenate/arogenate dehydrogenase	fallback_unknown_gene
DUF3067 family protein CDS	resolution				DUF3067 family protein	unknown_gene	DUF3067 family protein	fallback_unknown_gene
petC 2 CDS	resolution			petC_2	Cytochrome b6-f complex iron-sulfur subunit	petC	Cytochrome b6-f complex iron-sulfur subunit	uniprot_product_to_gene:petC:878,petC1:36,petC2:14,petC3:3
Tic22 family protein CDS	resolution				Tic22 family protein	unknown_gene	Tic22 family protein	fallback_unknown_gene
Tic22 family protein CDS	resolution				Tic22 family protein	unknown_gene	Tic22 family protein	fallback_unknown_gene
DICT sensory domain-containing protein CDS	resolution				DICT sensory domain-containing protein	unknown_gene	DICT sensory domain-containing protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
DUF2752 domain-containing protein CDS	resolution				DUF2752 domain-containing protein	unknown_gene	DUF2752 domain-containing protein	fallback_unknown_gene
DMT family transporter CDS	resolution				DMT family transporter	unknown_gene	DMT family transporter	fallback_unknown_gene
rnc CDS	resolution			rnc 3	Ribonuclease 3	rnc	Ribonuclease 3	uniprot_product_to_gene:rnc:925,mrnC:15,rnc1:11,rnc2:6
glycosyltransferase 61 family protein CDS	resolution				glycosyltransferase 61 family protein	unknown_gene	glycosyltransferase 61 family protein	fallback_unknown_gene
chromosome segregation ATPase CDS	resolution				chromosome segregation ATPase	unknown_gene	chromosome segregation ATPase	fallback_unknown_gene
VIT domain-containing protein CDS	resolution				VIT domain-containing protein	unknown_gene	VIT domain-containing protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
Spy/CpxP family protein refolding chaperone CDS	resolution				Spy/CpxP family protein refolding chaperone	unknown_gene	Spy/CpxP family protein refolding chaperone	fallback_unknown_gene
YqiA/YcfP family alpha/beta fold hydrolase CDS	resolution				YqiA/YcfP family alpha/beta fold hydrolase	unknown_gene	YqiA/YcfP family alpha/beta fold hydrolase	fallback_unknown_gene
ATP-dependent helicase CDS	resolution	pcrA 2		pcrA 2	ATP-dependent helicase	hrpB	ATP-dependent helicase	uniprot_product_to_gene:hrpB:15,yqhH:12,ywqA:12,hepA:6,yprA:6
tRNA-Asn gene	resolution					unknown_gene	tRNA-Asn gene	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution	lnrL 4		lnrL 4	ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
ATP-binding protein CDS	resolution	sasA 42		sasA 42	ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
glycosyltransferase CDS	resolution	rgtE 2		rgtE 2	glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
UDP-glucuronic acid decarboxylase family protein CDS	resolution				UDP-glucuronic acid decarboxylase family protein	unknown_gene	UDP-glucuronic acid decarboxylase family protein	fallback_unknown_gene
UDP-glucose/GDP-mannose dehydrogenase family protein CDS	resolution				UDP-glucose/GDP-mannose dehydrogenase family protein	unknown_gene	UDP-glucose/GDP-mannose dehydrogenase family protein	fallback_unknown_gene
DUF433 domain-containing protein CDS	resolution				DUF433 domain-containing protein	unknown_gene	DUF433 domain-containing protein	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
sulfurtransferase CDS	resolution				sulfurtransferase	moeB	sulfurtransferase	uniprot_product_to_gene:moeB:123,moeZ:48,rhdA:8,iscS3:3,mnmA:3
DUF4242 domain-containing protein CDS	resolution				DUF4242 domain-containing protein	unknown_gene	DUF4242 domain-containing protein	fallback_unknown_gene
acyl-CoA dehydrogenase family protein CDS	resolution				acyl-CoA dehydrogenase family protein	unknown_gene	acyl-CoA dehydrogenase family protein	fallback_unknown_gene
ABC transporter substrate-binding protein CDS	resolution				ABC transporter substrate-binding protein	modA	ABC transporter substrate-binding protein	uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
ABC transporter permease CDS	resolution	cmpB 1		cmpB 1	ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
pentapeptide repeat-containing protein CDS	resolution	pipB2 1		pipB2 1	pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
matrixin family metalloprotease CDS	resolution				matrixin family metalloprotease	unknown_gene	matrixin family metalloprotease	fallback_unknown_gene
apocarotenoid-15,15'-oxygenase CDS	resolution				Apocarotenoid-15,15'-oxygenase	unknown_gene	Apocarotenoid-15,15'-oxygenase	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
RNA recognition motif domain-containing protein CDS	resolution				RNA recognition motif domain-containing protein	unknown_gene	RNA recognition motif domain-containing protein	fallback_unknown_gene
DUF2993 domain-containing protein CDS	resolution				DUF2993 domain-containing protein	unknown_gene	DUF2993 domain-containing protein	fallback_unknown_gene
transcriptional regulator CDS	resolution				transcriptional regulator	rbcR	transcriptional regulator	uniprot_product_to_gene:rbcR:9,perR:6,rpaA:6,fur:3,lrrA:3
sodium-dependent bicarbonate transport family permease CDS	resolution				sodium-dependent bicarbonate transport family permease	unknown_gene	sodium-dependent bicarbonate transport family permease	fallback_unknown_gene
prolyl oligopeptidase family serine peptidase CDS	resolution				prolyl oligopeptidase family serine peptidase	unknown_gene	prolyl oligopeptidase family serine peptidase	fallback_unknown_gene
agenet domain-containing protein CDS	resolution				agenet domain-containing protein	unknown_gene	agenet domain-containing protein	fallback_unknown_gene
glucose-6-phosphate isomerase CDS	resolution				glucose-6-phosphate isomerase	pgi	glucose-6-phosphate isomerase	uniprot_product_to_gene:pgi:1000
GUN4 domain-containing protein CDS	resolution				GUN4 domain-containing protein	unknown_gene	GUN4 domain-containing protein	fallback_unknown_gene
branched-chain amino acid ABC transporter permease CDS	resolution				branched-chain amino acid ABC transporter permease	unknown_gene	branched-chain amino acid ABC transporter permease	fallback_unknown_gene
DUF58 domain-containing protein CDS	resolution				DUF58 domain-containing protein	unknown_gene	DUF58 domain-containing protein	fallback_unknown_gene
P-II family nitrogen regulator CDS	resolution				P-II family nitrogen regulator	unknown_gene	P-II family nitrogen regulator	fallback_unknown_gene
peptidoglycan-binding protein CDS	resolution				peptidoglycan-binding protein	unknown_gene	peptidoglycan-binding protein	fallback_unknown_gene
glycosyltransferase family 9 protein CDS	resolution				glycosyltransferase family 9 protein	unknown_gene	glycosyltransferase family 9 protein	fallback_unknown_gene
folate/biopterin family MFS transporter CDS	resolution	Folate-biopterin transporter		Folate-biopterin transporter	folate/biopterin family MFS transporter	fbt	folate/biopterin family MFS transporter	uniprot_product_to_gene:fbt:160
sensor histidine kinase CDS	resolution	sasA 2		sasA 2	sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
PQQ-binding-like beta-propeller repeat protein CDS	resolution				PQQ-binding-like beta-propeller repeat protein	unknown_gene	PQQ-binding-like beta-propeller repeat protein	fallback_unknown_gene
flavin-dependent dehydrogenase CDS	resolution				flavin-dependent dehydrogenase	unknown_gene	flavin-dependent dehydrogenase	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
photosystem I assembly protein Ycf3 CDS	resolution	ycf3 1		ycf3 1	photosystem I assembly protein Ycf3	ycf3	photosystem I assembly protein Ycf3	uniprot_product_to_gene:ycf3:895,ycf:55
aldo/keto reductase CDS	resolution				aldo/keto reductase	unknown_gene	aldo/keto reductase	fallback_unknown_gene
HypC/HybG/HupF family hydrogenase formation chaperone CDS	resolution				HypC/HybG/HupF family hydrogenase formation chaperone	hypC	HypC/HybG/HupF family hydrogenase formation chaperone	uniprot_product_to_gene:hypC:85
DUF3122 domain-containing protein CDS	resolution				DUF3122 domain-containing protein	unknown_gene	DUF3122 domain-containing protein	fallback_unknown_gene
LexA family protein CDS	resolution				LexA family protein	unknown_gene	LexA family protein	fallback_unknown_gene
molybdenum cofactor guanylyltransferase CDS	gene_conflict	MobA		mobA	molybdenum cofactor guanylyltransferase	mobA	molybdenum cofactor guanylyltransferase	CDS_priority_for_gene
molybdenum cofactor guanylyltransferase CDS	resolution	MobA		mobA	molybdenum cofactor guanylyltransferase	mobA	molybdenum cofactor guanylyltransferase	gene_conflict_CDS_priority
chlororespiratory reduction protein 7 CDS	resolution				chlororespiratory reduction protein 7	unknown_gene	chlororespiratory reduction protein 7	fallback_unknown_gene
XisI protein CDS	resolution				XisI protein	unknown_gene	XisI protein	fallback_unknown_gene
ABC-F family ATP-binding cassette domain-containing protein CDS	resolution				ABC-F family ATP-binding cassette domain-containing protein	unknown_gene	ABC-F family ATP-binding cassette domain-containing protein	fallback_unknown_gene
putative FAD-linked oxidoreductase glcD CDS	resolution				putative FAD-linked oxidoreductase	unknown_gene	putative FAD-linked oxidoreductase	fallback_unknown_gene
HhoA/HhoB/HtrA family serine endopeptidase CDS	resolution				HhoA/HhoB/HtrA family serine endopeptidase	unknown_gene	HhoA/HhoB/HtrA family serine endopeptidase	fallback_unknown_gene
phasin family protein CDS	resolution				phasin family protein	unknown_gene	phasin family protein	fallback_unknown_gene
photosystem II reaction center protein K CDS	resolution				photosystem II reaction center protein K	psbK	photosystem II reaction center protein K	uniprot_product_to_gene:psbK:1000
DUF4912 domain-containing protein CDS	resolution				DUF4912 domain-containing protein	unknown_gene	DUF4912 domain-containing protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
NAD-dependent epimerase/dehydratase family protein CDS	resolution				NAD-dependent epimerase/dehydratase family protein	unknown_gene	NAD-dependent epimerase/dehydratase family protein	fallback_unknown_gene
cation:proton antiporter CDS	resolution				cation:proton antiporter	ybaL	cation:proton antiporter	uniprot_product_to_gene:ybaL:1
heme-copper oxidase subunit III CDS	resolution				heme-copper oxidase subunit III	unknown_gene	heme-copper oxidase subunit III	fallback_unknown_gene
ctaD 1 CDS	resolution			ctaD_1	Cytochrome c oxidase subunit 1	ctaD	Cytochrome c oxidase subunit 1	uniprot_product_to_gene:ctaD:540,coxA:45,cyoB:20,ctaDI:10,coxA2:5
cytochrome c oxidase subunit II CDS	resolution				cytochrome c oxidase subunit II	coxB	cytochrome c oxidase subunit II	uniprot_product_to_gene:coxB:5
heme A synthase CDS	resolution				heme A synthase	ctaA	heme A synthase	uniprot_product_to_gene:ctaA:35
heme o synthase CDS	resolution				heme o synthase	unknown_gene	heme o synthase	fallback_unknown_gene
MBOAT family protein CDS	resolution				MBOAT family protein	unknown_gene	MBOAT family protein	fallback_unknown_gene
DUF3370 domain-containing protein CDS	resolution				DUF3370 domain-containing protein	unknown_gene	DUF3370 domain-containing protein	fallback_unknown_gene
mechanosensitive ion channel CDS	resolution				mechanosensitive ion channel	unknown_gene	mechanosensitive ion channel	fallback_unknown_gene
ssuB 1 CDS	resolution			ssuB_1	Aliphatic sulfonates import ATP-binding protein SsuB	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB	uniprot_product_to_gene:ssuB:28,ssuB1:6
N-acetylmuramoyl-L-alanine amidase CDS	resolution				N-acetylmuramoyl-L-alanine amidase	amiA	N-acetylmuramoyl-L-alanine amidase	uniprot_product_to_gene:amiA:10
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
peroxiredoxin-like family protein CDS	resolution				peroxiredoxin-like family protein	unknown_gene	peroxiredoxin-like family protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
energy-coupling factor ABC transporter ATP-binding protein CDS	resolution				energy-coupling factor ABC transporter ATP-binding protein	unknown_gene	energy-coupling factor ABC transporter ATP-binding protein	fallback_unknown_gene
energy-coupling factor transporter transmembrane protein EcfT CDS	resolution				energy-coupling factor transporter transmembrane protein EcfT	ecfT	energy-coupling factor transporter transmembrane protein EcfT	uniprot_product_to_gene:ecfT:10
energy-coupling factor ABC transporter permease CDS	resolution				energy-coupling factor ABC transporter permease	unknown_gene	energy-coupling factor ABC transporter permease	fallback_unknown_gene
fructosamine kinase family protein CDS	resolution				fructosamine kinase family protein	unknown_gene	fructosamine kinase family protein	fallback_unknown_gene
DNA double-strand break repair nuclease NurA CDS	resolution				DNA double-strand break repair nuclease NurA	unknown_gene	DNA double-strand break repair nuclease NurA	fallback_unknown_gene
DUF1565 domain-containing protein CDS	resolution				DUF1565 domain-containing protein	unknown_gene	DUF1565 domain-containing protein	fallback_unknown_gene
RuBisCO accumulation factor 1 CDS	resolution				RuBisCO accumulation factor 1	raf1	RuBisCO accumulation factor 1	uniprot_product_to_gene:raf1:1000
NADH-quinone oxidoreductase subunit J CDS	resolution				NADH-quinone oxidoreductase subunit J	ndhG	NADH-quinone oxidoreductase subunit J	uniprot_product_to_gene:ndhG:150,nuoJ:30
RluA family pseudouridine synthase CDS	resolution				RluA family pseudouridine synthase	unknown_gene	RluA family pseudouridine synthase	fallback_unknown_gene
phosphate-starvation-inducible PsiE family protein CDS	resolution				phosphate-starvation-inducible PsiE family protein	unknown_gene	phosphate-starvation-inducible PsiE family protein	fallback_unknown_gene
